,name,segment,change_time,falling_velocity_combine,bouncing_velocity_combine,change_velocity_combine,acceleration_combine,energy_change_combine,falling_velocity_x,bouncing_velocity_x,change_velocity_x,acceleration_x,energy_change_x,falling_velocity_y,bouncing_velocity_y,change_velocity_y,acceleration_y,energy_change_y,falling_velocity_z,bouncing_velocity_z,change_velocity_z,acceleration_z,energy_change_z,airbag_condition,ID_sort,direction,height
17,P10_112,Right Forearm,61,-1.674729968,0.642737692,2.3174676604044437,0.037991273121384325,66.97,0.10535,-0.50686,-0.61221,-0.01003623,-6.88,0.046542,0.387211,0.340669,0.005584738,-4.14,-1.670765,0.079198,1.7499630000000002,0.028687918032786888,77.99,without,P10,front,18 cm
18,P10_112,Left Forearm,15,-1.833052252,0.39963026243391525,2.2326825148211733,0.14884550098807822,89.61,0.001011,0.188986,0.18797499999999998,0.012531666666666665,-1,0.077569,-0.216621,-0.29419,-0.019612667,-1.15,-1.83141,0.277604,2.109014,0.14060093333333334,91.76,without,P10,front,18 cm
19,P10_112,Pelvis,81,-1.716551274,0.7403976815151435,2.456948955217738,0.030332703,67.15,-0.080009,0.017553,0.097562,0.001204469,0.17,-0.849512,0.671522,1.521034,0.018778197530864196,7.58,-1.489455,0.31135,1.800805,0.02223216,59.4,without,P10,front,18 cm
20,P10_112,Right Upper Leg,17,-1.415566043,0.5310271136081471,1.9465931567149322,0.11450547980676072,48.21,-0.239506,0.423645,0.663151,0.039008882,-3.42,0.230856,-0.158931,-0.389787,-0.022928647,0.78,-1.375925,0.277949,1.653874,0.097286706,50.85,without,P10,front,18 cm
21,P10_112,Left Upper Leg,24,-1.636937994,0.9518768657284408,2.588814859376948,0.10786728580737283,49.66,0.353592,-0.94382,-1.297412,-0.054058833,-21.44,0.066245,-0.033953,-0.100198,-0.004174917,0.09,-1.596919,0.11883,1.715749,0.071489542,71.01,without,P10,front,18 cm
22,P10_112,Neck,19,-1.063164262,0.9593736638067568,2.0225379263038556,-0.106449365,5.88,-0.014363,-0.031573,-0.01721,0.000905789,-0.02,0.127621,-0.430789,-0.55841,0.02939,-4.74,-1.055379,0.856634,1.912013,-0.100632263,10.64,without,P10,front,18 cm
23,P10_112,Right Shoulder,15,-1.764426284,0.5341022337362015,2.2985285173156544,0.1532352344877103,79.18,-0.142069,0.034639,0.176708,0.011780533333333334,0.53,1.29578,-0.076769,-1.372549,-0.091503267,46.85,-1.189105,0.52742,1.716525,0.11443500000000001,31.8,without,P10,front,18 cm
24,P10_112,Left Shoulder,15,-1.70297563,0.8695318831986554,2.572507512915358,0.17150050086102386,60.03,0.195929,0.040195,-0.155734,-0.010382267,1.03,0.180108,-0.103907,-0.284015,-0.018934333,0.61,-1.682052,0.862365,2.544417,0.16962780000000002,58.4,without,P10,front,18 cm
25,P10_112,Right Shoulder,15,-1.764426284,0.5341022337362015,2.2985285173156544,0.1532352344877103,79.18,-0.142069,0.034639,0.176708,0.011780533333333334,0.53,1.29578,-0.076769,-1.372549,-0.091503267,46.85,-1.189105,0.52742,1.716525,0.11443500000000001,31.8,without,P10,front,18 cm
26,P10_112,Left Shoulder,15,-1.70297563,0.8695318831986554,2.572507512915358,0.17150050086102386,60.03,0.195929,0.040195,-0.155734,-0.010382267,1.03,0.180108,-0.103907,-0.284015,-0.018934333,0.61,-1.682052,0.862365,2.544417,0.16962780000000002,58.4,without,P10,front,18 cm
